open,high,low,close,volume,Name,EMA14,EMA20,EMA50,EMA100,EMA200,cross,cross_14,cross_20,cross_50,cross_100,cross_200,prev_cross,prev_cross_14,prev_cross_20,prev_cross_50,prev_cross_100,prev_cross_200
78.0,78.12,77.465,77.93,1789769,ACN,76.56455012441776,76.00694673134373,74.7368948891726,74.10430866652474,73.73035790805012,0,0,0,0,0,0,0,0,0,0,0,0
78.08,78.37,77.865,78.26,1959257,ACN,76.79061010782874,76.22152323312052,74.87505587391092,74.1865995840193,73.77542897364167,0,0,0,0,0,0,0,0,0,0,0,0
77.88,78.17,76.52,76.6,6131312,ACN,76.76519542678491,76.25756863948999,74.94270074160069,74.23438969126644,73.80353415798353,-1,-1,0,0,0,0,0,0,0,0,0,0
75.87,77.27,75.86,76.81,2578496,ACN,76.77116936988025,76.31018115001476,75.0159281634987,74.28539187559781,73.83344924098868,1,1,0,0,0,0,-1,-1,0,0,0,0
77.16,77.22,75.81,76.18,2801666,ACN,76.69234678722955,76.29778294525146,75.06157803943992,74.32290886816023,73.85679800475995,-1,-1,-1,0,0,0,1,1,0,0,0,0
76.34,76.8,76.13,76.49,2487340,ACN,76.66536721559895,76.31608933141798,75.11759458691287,74.36582156384023,73.88299901963796,0,0,1,0,0,0,-1,-1,-1,0,0,0
75.83,76.005,74.065,74.3,3844648,ACN,76.34998492018576,76.12408082366389,75.08553205409275,74.36451816653646,73.88714828312415,0,0,-1,-1,-1,0,0,0,1,0,0,0
74.3,74.74,73.33,73.88,3306172,ACN,76.02065359749433,75.9103588404578,75.03825628726558,74.35492374739711,73.88707715592888,0,0,0,0,0,-1,0,0,-1,-1,-1,0
74.2,74.324,73.225,73.41,3397367,ACN,75.67256645116176,75.67222942708086,74.97440309952968,74.3362123860625,73.88233011955148,0,0,0,0,0,0,0,0,0,0,0,-1
74.0,74.73,73.84,74.54,2040600,ACN,75.52155759100685,75.56439805307316,74.95736768386185,74.3402477843583,73.88887409846143,0,0,0,0,1,1,0,0,0,0,0,0
74.18,75.04,74.1,74.88,2482818,ACN,75.4360165788726,75.49921728611382,74.95433365704373,74.35093594704428,73.89873604773048,0,0,0,0,0,0,0,0,0,0,1,1
73.79,76.14,72.42,75.97,4038807,ACN,75.50721436835626,75.54405373505536,74.99416370970869,74.38299662136022,73.91934563929536,1,1,1,1,0,0,0,0,0,0,0,0
76.07,76.45,75.55,75.85,2017406,ACN,75.55291911924209,75.57319147457389,75.02772591717108,74.41204619321448,73.93855613044664,0,0,0,0,0,0,1,1,1,1,0,0
76.1,76.98,75.91,76.67,2686667,ACN,75.70186323667649,75.67764942937637,75.09212882238006,74.45675814978448,73.96573467641234,0,0,0,0,0,0,0,0,0,0,0,0
76.835,77.0,76.13,76.6,2986577,ACN,75.82161480511962,75.76549234086433,75.15126102542398,74.49919858246201,73.99194627167192,0,0,0,0,0,0,0,0,0,0,0,0
76.86,76.92,76.31,76.61,1796319,ACN,75.92673283110366,75.84592164173439,75.20846647540735,74.54099663033405,74.01799655752593,0,0,0,0,0,0,0,0,0,0,0,0
75.76,76.36,75.52,76.25,2077949,ACN,75.96983512028984,75.88440529490255,75.24931092735216,74.57483828121852,74.0402055470033,0,0,0,0,0,0,0,0,0,0,0,0
76.14,76.62,75.9,76.55,1950747,ACN,76.04719043758453,75.94779526681658,75.30031834196579,74.61395039446171,74.0651786261376,0,0,0,0,0,0,0,0,0,0,0,0
76.76,76.95,75.93,76.21,1975596,ACN,76.06889837923993,75.97276714616739,75.33599213247693,74.64555533714564,74.08652013234517,0,0,0,0,0,0,0,0,0,0,0,0
75.56,77.12,75.5,77.01,3406072,ACN,76.19437859534128,76.07155122748478,75.40163949983078,74.6923760235388,74.11560948426214,0,0,0,0,0,0,0,0,0,0,0,0
76.97,77.94,76.81,77.78,2533852,ACN,76.4057947826291,76.23426063439099,75.4949085390531,74.75351709237961,74.15207108143366,0,0,0,0,0,0,0,0,0,0,0,0
77.0,77.37,76.17,77.23,2985208,ACN,76.51568881161188,76.32909295492519,75.56295134144318,74.80255635787704,74.18269723982736,0,0,0,0,0,0,0,0,0,0,0,0
76.93,77.06,75.23,75.24,2930740,ACN,76.34559697006362,76.22536981636088,75.55028658295522,74.81121860821611,74.19321766530172,-1,-1,-1,-1,0,0,0,0,0,0,0,0
76.0,77.56,75.605,77.49,3439799,ACN,76.49818404072181,76.34581078623127,75.6263537757805,74.86426378429104,74.22602146962707,1,1,1,1,0,0,-1,-1,-1,-1,0,0
76.79,77.23,76.42,76.7,3185116,ACN,76.52509283529224,76.37954309230449,75.66845754927931,74.90061499648328,74.25063817142183,0,0,0,0,0,0,1,1,1,1,0,0
76.99,77.15,75.48,75.57,3528100,ACN,76.39774712391994,76.30244375018025,75.66459646891542,74.91387014506778,74.26376614981564,-1,-1,-1,-1,0,0,0,0,0,0,0,0
75.02,75.39,74.205,74.74,5587899,ACN,76.17671417406395,76.15363958349641,75.62833778385992,74.91042717189812,74.26850479509112,0,0,0,0,-1,0,-1,-1,-1,-1,0,0
75.0,75.13,74.19,74.94,2324161,ACN,76.01181895085543,76.03805486125867,75.60134414527718,74.9110127724546,74.27518633941858,0,0,0,0,1,0,0,0,0,0,-1,0
75.29,77.2,75.01,76.3,3279067,ACN,76.05024309074138,76.06300201732927,75.62874241408986,74.93851747002975,74.29533373902636,1,1,1,1,0,0,0,0,0,0,1,0
76.43,77.91,76.43,77.81,3654835,ACN,76.2848773453092,76.22938277758362,75.7142819272628,74.99537851022718,74.33030554261813,0,0,0,0,0,0,1,1,1,1,0,0
78.0,79.66,77.88,79.33,3472781,ACN,76.69089369926797,76.524679655909,75.85607479286034,75.08121259913358,74.38005374617418,0,0,0,0,0,0,0,0,0,0,0,0
78.61,79.38,78.46,78.66,2683480,ACN,76.95344120603225,76.72804349820338,75.96603264412072,75.15207967637846,74.42264027606299,0,0,0,0,0,0,0,0,0,0,0,0
78.66,81.45,78.63,81.13,3947964,ACN,77.51031571189462,77.14727745075542,76.16854116788069,75.27045433625216,74.4893801738136,0,0,0,0,0,0,0,0,0,0,0,0
80.92,81.44,80.03,81.44,3334321,ACN,78.03427361697534,77.55610816973109,76.37526504365007,75.39262355731647,74.55854057009407,0,0,0,0,0,0,0,0,0,0,0,0
81.44,82.18,79.71,79.77,3600978,ACN,78.26570380137862,77.76695501070908,76.5083919046834,75.47930427895376,74.61039588780457,0,0,0,0,0,0,0,0,0,0,0,0
80.15,80.77,79.335,79.49,3432576,ACN,78.42894329452815,77.9310545334987,76.62531771234288,75.55872399620219,74.65894916255279,0,0,0,0,0,0,0,0,0,0,0,0
80.08,80.29,79.24,79.5,3486056,ACN,78.57175085525773,78.08047791126073,76.73805035107453,75.63676906558432,74.7071188226269,0,0,0,0,0,0,0,0,0,0,0,0
79.4,79.85,78.74,78.82,4917796,ACN,78.60485074122337,78.15090858637875,76.81969543534612,75.69980334151333,74.74804301344653,0,0,0,0,0,0,0,0,0,0,0,0
78.87,79.35,78.74,79.05,2567784,ACN,78.66420397572693,78.23653634005696,76.9071583594502,75.76614386940416,74.7908485556013,0,0,0,0,0,0,0,0,0,0,0,0
79.13,80.0,79.0,80.0,3088533,ACN,78.84231011229669,78.40448526005153,77.02844626692274,75.84998260466348,74.84268090828189,0,0,0,0,0,0,0,0,0,0,0,0
79.7401,80.77,79.69,80.09,2155461,ACN,79.00866876399047,78.56501047337996,77.14850719763166,75.93394334516519,74.89489303854775,0,0,0,0,0,0,0,0,0,0,0,0
80.34,81.48,80.15,80.48,2193646,ACN,79.20484626212507,78.74739042829616,77.27915397419513,76.0239642690233,74.9504662421443,0,0,0,0,0,0,0,0,0,0,0,0
80.06,80.69,79.85,79.92,1739587,ACN,79.30020009384174,78.85906753036319,77.38271656344239,76.10111349141887,74.9999143392374,0,0,0,0,0,0,0,0,0,0,0,0
79.91,80.63,79.86,80.55,2265006,ACN,79.46684008132951,79.02010871794764,77.50692375703288,76.18921025396503,75.05513907218032,0,0,0,0,0,0,0,0,0,0,0,0
80.5,80.94,79.815,80.76,2382819,ACN,79.6392614038189,79.18581264957167,77.63449537440414,76.27972094200533,75.11190385753177,0,0,0,0,0,0,0,0,0,0,0,0
80.56,81.52,79.29,80.61,2528731,ACN,79.76869321664306,79.32144954008865,77.75118183030986,76.36546904216364,75.16661128183495,0,0,0,0,0,0,0,0,0,0,0,0
80.7,82.24,80.5,82.24,2567982,ACN,80.09820078775732,79.59940672674688,77.92721391539574,76.48179638786337,75.23699325913012,0,0,0,0,0,0,0,0,0,0,0,0
82.94,83.82,82.33,82.53,3026247,ACN,80.42244068272302,79.87851084800909,78.10771533047826,76.6015627960245,75.30956049038255,0,0,0,0,0,0,0,0,0,0,0,0
82.65,83.33,82.12,82.9,2675999,ACN,80.75278192502662,80.16627171962728,78.29564806261637,76.72628432481609,75.38508725167227,0,0,0,0,0,0,0,0,0,0,0,0
82.97,84.225,82.2,82.52,3090060,ACN,80.98841100168974,80.390436317758,78.46130892290591,76.84101136788904,75.45608140837206,0,0,0,0,0,0,0,0,0,0,0,0
81.76,82.75,81.1,82.52,2742775,ACN,81.19262286813111,80.59325190654295,78.62047327887039,76.95346658832688,75.52636915555244,0,0,0,0,0,0,0,0,0,0,0,0
82.04,82.39,80.78,82.22,2206926,ACN,81.32960648571363,80.748180296396,78.76163118950292,77.05775437865704,75.59297244753701,0,0,0,0,0,0,0,0,0,0,0,0
83.27,83.44,82.76,83.09,2105299,ACN,81.5643256209518,80.97121074435827,78.93137114285575,77.17720478700046,75.66756973661624,0,0,0,0,0,0,0,0,0,0,0,0
82.52,83.37,82.35,82.95,2457826,ACN,81.7490822048249,81.1596668639432,79.08896443137121,77.29151756349549,75.74003172928673,0,0,0,0,0,0,0,0,0,0,0,0
83.02,83.4,82.78,82.84,2195554,ACN,81.89453791084824,81.31969859118671,79.23606386543509,77.4013885028322,75.8106781797416,0,0,0,0,0,0,0,0,0,0,0,0
82.25,83.5,82.0,82.11,3134966,ACN,81.9232661894018,81.39496539202607,79.34876724326116,77.49462833445928,75.87335799884865,0,0,0,0,0,0,0,0,0,0,0,0
82.48,82.61,81.6,82.1,2019011,ACN,81.94683069748157,81.46211154516645,79.45665872391758,77.58582381298484,75.93531463567602,0,0,0,0,0,0,0,0,0,0,0,0
82.0,82.29,80.94,81.25,3340511,ACN,81.85391993781737,81.44191044562679,79.52698583278357,77.65838175728217,75.98819707711208,-1,-1,-1,0,0,0,0,0,0,0,0,0
81.25,81.25,79.37,79.58,2433400,ACN,81.55073061277506,81.26458564128137,79.52906481973324,77.69643360367262,76.02393640967813,0,0,0,0,0,0,-1,-1,-1,0,0,0
79.74,80.05,78.77,79.55,2721559,ACN,81.28396653107173,81.10129177068315,79.52988580719469,77.7331378887484,76.05902161953207,0,0,0,0,0,0,0,0,0,0,0,0
80.84,80.95,80.06,80.9,2916634,ACN,81.2327709935955,81.08212112585619,79.58361577554,77.79584802956526,76.10719055864121,0,0,0,0,0,0,0,0,0,0,0,0
81.28,81.59,80.6,81.55,2127510,ACN,81.27506819444943,81.12668101863179,79.66072888238158,77.87018767254418,76.16134786651543,1,1,1,0,0,0,0,0,0,0,0,0
80.64,81.6,80.36,80.41,1972249,ACN,81.15972576852285,81.058425683524,79.69011206346465,77.92048098595914,76.20362301212225,-1,-1,-1,0,0,0,1,1,1,0,0,0
80.84,81.0,79.65,79.71,1462595,ACN,80.96642899938647,80.93000418985505,79.69089198254447,77.95591700603916,76.23851233538471,0,0,0,0,0,0,-1,-1,-1,0,0,0
79.89,81.38,79.44,81.08,2150462,ACN,80.98157179946827,80.94428950510697,79.74536680675843,78.01778003562254,76.28668634199781,1,1,1,0,0,0,0,0,0,0,0,0
80.91,81.65,80.325,80.55,1367384,ACN,80.9240288928725,80.90673812366822,79.77692104963064,78.06792300521417,76.32910737342073,-1,-1,-1,0,0,0,1,1,1,0,0,0
81.28,82.95,81.11,82.45,2473330,ACN,81.12749170715618,81.05371544522363,79.88174767513533,78.15469680709111,76.39001177766531,1,1,1,0,0,0,-1,-1,-1,0,0,0
82.64,83.3,82.14,82.93,1862586,ACN,81.36782614620202,81.23240921234519,80.00128698199276,78.24925726635664,76.45508628734028,0,0,0,0,0,0,1,1,1,0,0,0
82.87,83.03,81.82,81.83,1876335,ACN,81.42944932670842,81.28932262069327,80.07300121799304,78.32016306306244,76.50856801582447,0,0,0,0,0,0,0,0,0,0,0,0
81.11,81.51,79.37,79.52,2886852,ACN,81.1748560831473,81.12081570443678,80.0513148957188,78.34392221032851,76.53853251317945,-1,-1,-1,-1,0,0,0,0,0,0,0,0
79.69,79.92,78.78,79.4,4555053,ACN,80.93820860539434,80.95692849449041,80.02577313510238,78.36483464180716,76.56700482648115,0,0,0,0,0,0,-1,-1,-1,-1,0,0
79.06,79.87,78.85,79.16,2518387,ACN,80.70111412467509,80.78579244739609,79.99182124745131,78.38058049048425,76.59280577348134,0,0,0,0,0,0,0,0,0,0,0,0
80.05,80.17,79.25,79.66,2899300,ACN,80.56229890805173,80.67857411907266,79.97880864951205,78.40591553027664,76.62332511901886,0,0,0,0,0,0,0,0,0,0,0,0
80.48,80.48,79.43,79.56,3066592,ACN,80.42865905364484,80.57204325058956,79.96238478090373,78.42876868809294,76.65254576460077,0,0,0,0,0,0,0,0,0,0,0,0
80.22,80.92,79.84,80.22,4071210,ACN,80.4008378464922,80.53851532196198,79.97248733851535,78.46423861506139,76.68804282166943,0,0,0,1,0,0,0,0,0,0,0,0
71.8,72.25,69.0,71.96,28284386,ACN,79.27539280029325,79.72151386272752,79.65827214876965,78.33544181080275,76.64099761946376,0,0,0,-1,-1,-1,0,0,0,1,0,0
72.14,73.51,72.0,72.1,6396495,ACN,78.31867376025414,78.99565539961061,79.36186931940614,78.21196771553932,76.5958135635487,0,0,0,0,0,0,0,0,0,-1,-1,-1
71.73,72.45,71.39,72.12,4685505,ACN,77.49218392555359,78.34083107583817,79.07787444413532,78.09133469146923,76.55127810520494,0,0,0,0,0,0,0,0,0,0,0,0
71.88,73.0,71.88,72.68,2908587,ACN,76.85055940214646,77.80170430671072,78.8269774071104,77.9841795490639,76.51275792505366,0,0,0,0,0,0,0,0,0,0,0,0
